# period(days),pearsons correlation coefficient
923.0,0.278263197813075
924.0,0.2947923151769996
925.0,0.29694387206579254
926.0,0.3228902716888401
927.0,0.32926461773509147
928.0,0.34166164318013936
929.0,0.33354684995564887
930.0,0.339160732403591
931.0,0.3482707177590544
932.0,0.3510833676343705
933.0,0.367646810743983
934.0,0.4081912395831687
935.0,0.40905185861649945
936.0,0.4373125738678885
937.0,0.45394220229190996
938.0,0.46894849912459474
939.0,0.473831016297326
940.0,0.48484035443606077
941.0,0.46994399894679156
942.0,0.4772186400728212
943.0,0.4900126530635431
944.0,0.5003885533148763
945.0,0.5093045406943326
946.0,0.5201108785708485
947.0,0.5221967719572606
948.0,0.5176119325226413
949.0,0.4590496638759048
950.0,0.44949608453601975
951.0,0.43362735291786525
952.0,0.4222180163676225
953.0,0.4303446857609039
954.0,0.4471510914467996
955.0,0.46669360373748403
956.0,0.37650661897226295
957.0,0.37992116113969354
958.0,0.39202795213578817
959.0,0.39330079959236686
960.0,0.39420811716539117
961.0,0.40320261304239224
962.0,0.3799094685433979
963.0,0.37664352082739316
964.0,0.3756616982539787
965.0,0.3687180654855062
966.0,0.36801616871129983
967.0,0.3483437961627622
968.0,0.34470139631326113
969.0,0.3414615025237013
970.0,0.29403462096419536
971.0,0.2780558245298451
972.0,0.2736062915371139
973.0,0.2628885964989054
974.0,0.25235286912888116
975.0,0.24964407481638898
976.0,0.2404541347669469
977.0,0.19567889663354934
978.0,0.1951151784075911
979.0,0.19439762722420348
980.0,0.1252254555873245
981.0,0.09356656746040469
982.0,0.10763275873890085
983.0,0.10377643849204883
984.0,0.12699528390823864
985.0,0.1351666976761032
986.0,0.14357604473453742
987.0,0.17471714918255507
988.0,0.17519837619977824
989.0,0.1915231207359156
990.0,0.2106477439713081
991.0,0.22400180532640565
992.0,0.22064272342968935
993.0,0.227239850045089
994.0,0.23791057192407863
995.0,0.23356453109531802
996.0,0.20833320308478587
997.0,0.2190192065527111
998.0,0.25698513560646297
999.0,0.2511461393924242
